Interface,Bus_id,State,LoadZone,Latitude,Longitude,Demand_MW,DistanceMiles,Weight,IsAnchor,CentroidLatitude,CentroidLongitude
HQHIGATE,210,ME,ME,43.79530008131528,-70.14436051039998,253.54513888888889,140.66336909034598,0.007299479743278992,False,44.483667697984295,-72.6425039057059
HQHIGATE,5,ME,ME,44.65426910544976,-69.9668225237288,28.246715328467157,142.29884041711935,0.0024153661779305565,False,44.483667697984295,-72.6425039057059
HQHIGATE,60,ME,ME,44.36051747027993,-69.96104093616063,9.802547770700638,142.37134422582767,0.0014223372021365027,False,44.483667697984295,-72.6425039057059
HQHIGATE,55,ME,ME,44.27569685905635,-69.95594436290183,16.45213137665968,143.10893287146973,0.0018355281606250032,False,44.483667697984295,-72.6425039057059
HQHIGATE,211,ME,ME,44.753589402070325,-69.95212897708137,16.27358490566038,143.8010674814277,0.0018189470610702615,False,44.483667697984295,-72.6425039057059
HQHIGATE,68,ME,ME,44.857374814588354,-69.95070897286033,15.407299270072992,144.97671105690225,0.0017590962456203382,False,44.483667697984295,-72.6425039057059
HQHIGATE,187,ME,ME,44.17802138898811,-69.90573082110355,29.855670103092784,146.57413052627214,0.0024286808112835277,False,44.483667697984295,-72.6425039057059
HQHIGATE,100,ME,ME,43.89402258176439,-69.97482160005393,13.924762600438276,147.12457512080152,0.0016539790660094927,False,44.483667697984295,-72.6425039057059
HQHIGATE,141,ME,ME,45.01039131968572,-69.90971530259057,32.43511450381679,149.3280562400063,0.0024963282043022083,False,44.483667697984295,-72.6425039057059
HQHIGATE,212,ME,ME,45.02754883037161,-69.89834133668784,26.955597248280174,150.20422251470444,0.0022657547443250595,False,44.483667697984295,-72.6425039057059
HQHIGATE,50,ME,ME,43.89291036203304,-69.8824287082931,92.14988558352402,151.85705756348395,0.004155001544907474,False,44.483667697984295,-72.6425039057059
HQHIGATE,234,MA,NEMA/Boston,42.580491551785016,-71.18972026131365,212.2365229110512,152.22792234651664,0.0062941827127629985,False,44.483667697984295,-72.6425039057059
