Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,13,1,0.37227661,0.37227661,0.37227661,0.327212375,0.37227661,0.327212375
1,13,2,0.377520153,0.377520153,0.377520153,0.258214823,0.377520153,0.258214823
1,13,3,0.308781021,0.308781021,0.308781021,0.18665686,0.308781021,0.18665686
1,13,4,0.2637293,0.2637293,0.2637293,0.16391598,0.2637293,0.16391598
1,13,5,0.247355595,0.247355595,0.247355595,0.1485948,0.247355595,0.1485948
1,13,6,0.195918847,0.195918847,0.195918847,0.175970437,0.195918847,0.175970437
1,13,7,0.231687501,0.231687501,0.231687501,0.182390572,0.231687501,0.182390572
1,13,8,0.220633873,0.220633873,0.220633873,0.179020954,0.220633873,0.179020954
1,13,9,0.190430768,0.190430768,0.190430768,0.211746968,0.190430768,0.211746968
1,13,10,0.130550031,0.130550031,0.130550031,0.209037113,0.130550031,0.209037113
1,13,11,0.051062475,0.051062475,0.051062475,0.142987426,0.051062475,0.142987426
1,13,12,0.028375612,0.028375612,0.028375612,0.07945699,0.028375612,0.07945699
1,13,13,0.028685484,0.028685484,0.028685484,0.04992028,0.028685484,0.04992028
1,13,14,0.026732922,0.026732922,0.026732922,0.058512512,0.026732922,0.058512512
1,13,15,0.04153487,0.04153487,0.04153487,0.08504011,0.04153487,0.08504011
1,13,16,0.050831939,0.050831939,0.050831939,0.104468823,0.050831939,0.104468823
1,13,17,0.046644945,0.046644945,0.046644945,0.115234746,0.046644945,0.115234746
1,13,18,0.038376424,0.038376424,0.038376424,0.133246182,0.038376424,0.133246182
1,13,19,0.054373057,0.054373057,0.054373057,0.156223847,0.054373057,0.156223847
1,13,20,0.056048415,0.056048415,0.056048415,0.139590614,0.056048415,0.139590614
1,13,21,0.031426723,0.031426723,0.031426723,0.113392407,0.031426723,0.113392407
1,13,22,0.011804038,0.011804038,0.011804038,0.095527967,0.011804038,0.095527967
1,13,23,0.008941463,0.008941463,0.008941463,0.083562197,0.008941463,0.083562197
1,13,24,0.011631369,0.011631369,0.011631369,0.053782944,0.011631369,0.053782944
1,14,1,0.036756134,0.036756134,0.036756134,0.05389466,0.036756134,0.05389466
1,14,2,0.101929881,0.101929881,0.101929881,0.060252077,0.101929881,0.060252077
1,14,3,0.139306691,0.139306691,0.139306691,0.065482409,0.139306691,0.065482409
1,14,4,0.151010861,0.151010861,0.151010861,0.081424887,0.151010861,0.081424887
1,14,5,0.159552852,0.159552852,0.159552852,0.093687833,0.159552852,0.093687833
1,14,6,0.202601611,0.202601611,0.202601611,0.099565678,0.202601611,0.099565678
1,14,7,0.238440265,0.238440265,0.238440265,0.125965513,0.238440265,0.125965513
1,14,8,0.253937557,0.253937557,0.253937557,0.153971759,0.253937557,0.153971759
1,14,9,0.258490423,0.258490423,0.258490423,0.160116401,0.258490423,0.160116401
1,14,10,0.261735671,0.261735671,0.261735671,0.177180207,0.261735671,0.177180207
1,14,11,0.338760123,0.338760123,0.338760123,0.213263591,0.338760123,0.213263591
1,14,12,0.359987232,0.359987232,0.359987232,0.253015483,0.359987232,0.253015483
1,14,13,0.404285742,0.404285742,0.404285742,0.282404585,0.404285742,0.282404585
1,14,14,0.402889455,0.402889455,0.402889455,0.289178121,0.402889455,0.289178121
